i,group,x1,x2,omega1,omega2,A1,A2,res1,res2,lambda_min,lambda_max,anisotropy,detG,logdetG,lambda_radial,lambda_tangent,ratio_tangent_radial
285,0,0.42676236801724005,0.16449207966553167,1.0062579773375426,0.44276855135813314,1.011982877821707,0.44466846320021464,-0.005724900484164408,-0.001899911842081492,2.086862095835457,2.460859787827954,1.1792153361445623,5.135475014383842,1.6361723443375884,2.09005759197949,2.457664291683921,1.175883526422959
289,0,0.4267417005941652,0.16446820869478088,1.0062579773375426,0.44276855135813314,1.0119347827677192,0.4446010956942851,-0.005676805430176568,-0.0018325443361519311,2.086808693485659,2.4607629728400213,1.1791991189809234,5.135141564330171,1.6361074115166165,2.090009191062198,2.457562475263483,1.1758620420298176
290,0,0.4270326306662086,0.16455034777226266,1.0062579773375426,0.44276855135813314,1.0126401404686374,0.4448081804678409,-0.006382163131094742,-0.00203962910970773,2.087132022162252,2.462060667856706,1.1796382029087125,5.138645660389912,1.6367895545509177,2.090325629782167,2.4588670602367912,1.176308143192518
291,0,0.4265828423669022,0.16445856108175344,1.0062579773375426,0.44276855135813314,1.0115456825079703,0.4445907488697789,-0.005287705170427648,-0.0018221975116457512,2.0866905000157936,2.4600630523194407,1.1789304893566253,5.1333902007148335,1.6357662987514436,2.089885879964964,2.4568676723702696,1.1755989625670171
296,0,0.42670291107531316,0.16446591327179946,1.0062579773375426,0.44276855135813314,1.0118397670638788,0.44459874609306194,-0.0055817897263361616,-0.0018301947349287917,2.0867799532480014,2.4605920891491433,1.17913347083832,5.13471424475705,1.6360241932940218,2.089979188849628,2.4573928535475162,1.1757977623213183
297,0,0.426862960872823,0.16451667219605956,1.0062579773375426,0.44276855135813314,1.0122271932767202,0.4447289564386196,-0.005969215939177541,-0.0019604050804864492,2.0869676575746308,2.4613075743915065,1.1793702530358878,5.1366693030985395,1.6364048739211237,2.090161738498459,2.4581134934676787,1.1760398481093386
300,0,0.426727374441288,0.1644951171413,1.0062579773375426,0.44276855135813314,1.0118965909886302,0.444681259060921,-0.005638613651087532,-0.0019127077027878414,2.0868448218395383,2.460706954928359,1.1791518608265583,5.135113566956784,1.6361019593884991,2.0900379040421293,2.457513872725769,1.175822633634032
302,0,0.4267279799623279,0.16449172611013121,1.0062579773375426,0.44276855135813314,1.011898456892451,0.4446712913609231,-0.0056404795549083175,-0.0019027400027899488,2.0868394996758615,2.4607087453069076,1.1791557260101304,5.135104206904284,1.6361001366321164,2.0900334592104635,2.4575147857723056,1.1758255710894996
308,0,0.426725116878717,0.16450389466632137,1.0062579773375426,0.44276855135813314,1.0118900660196666,0.44470713754241986,-0.005632088682123948,-0.001938586184286717,2.0868581567789155,2.4606992927941835,1.1791406544814216,5.13513039054765,1.636105235569851,2.0900489359269545,2.4575085136461436,1.1758138632080486
310,0,0.4266797537655051,0.16448838275712582,1.0062579773375426,0.44276855135813314,1.0117803818008622,0.4446669440857981,-0.00552240446331953,-0.0018983927276649548,2.0868030041980923,2.4604961901695095,1.1790744910849975,5.134570841463693,1.635996264710452,2.0899955193490083,2.4573036750185926,1.175745905801747
311,0,0.42665415395304396,0.16446762016897315,1.0062579773375426,0.44276855135813314,1.011719822799468,0.4446091992654068,-0.0054618454619252965,-0.0018406479072736737,2.0867515656459017,2.4603784701103737,1.1790471422738935,5.13419862458429,1.6359237697769944,2.089948063225643,2.457181972530631,1.1757143709773323
317,0,0.4269376985925691,0.16447521055931488,1.0062579773375426,0.44276855135813314,1.012415394952966,0.44459954368719107,-0.006157417615423322,-0.0018309923290579233,2.0869460525430186,2.4616252235799343,1.1795346700890308,5.13727904319047,1.6365235702727297,2.0901540539827996,2.4584172221401546,1.1761894858685786
318,0,0.4264284776907375,0.1644494202718064,1.0062579773375426,0.44276855135813314,1.0111675589187112,0.44458136940840765,-0.004909581581168609,-0.0018128180502745006,2.086575858618222,2.4593829361311976,1.178669314117272,5.131689061628958,1.6354348567707298,2.089766178928465,2.456192615820955,1.1753432707387275
322,0,0.42678129885974836,0.16450606765249887,1.0062579773375426,0.44276855135813314,1.0120278108169116,0.4447071722385557,-0.005769833479368991,-0.0019386208804225702,2.0868977139161533,2.460946449656568,1.179236736542538,5.135743519858364,1.6362246274184493,2.090090601593902,2.457753561978819,1.1759076664449557
325,0,0.42660326289371797,0.16446830815329921,1.0062579773375426,0.44276855135813314,1.0115947511518741,0.4446169173651505,-0.005336773814331508,-0.0018483660070173769,2.086720094048851,2.4601552255446997,1.1789579410103224,5.133655343623408,1.6358179480613622,2.0899140057837813,2.45696131380977,1.17562794785345
